Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
376,Matesky,Variations on Famous Theme by Paganini,Full Orchestra,N,,,
377,Mendelssohn,Fingals Cave,Full Orchestra,N,,,
378,Mendelssohn/Leidig,Reformation Symphony (Mvt. IV),Full Orchestra,1,,,
379,Mendelssohn,Symphony #4,string parts,N,,,
380,Mendelssohn,Symphony #4,wind parts,N,Scores,,
381,Montgomery/Smith,Angels from the Realms of Glory,Full Orchestra,N,,,
382,Moussorgsky/Sopkin,A Night on Bald Mountain,Full Orchestra,5,,,
383,Moussorgsky/Simpson,Pictures at an Exhibition - Part I,Full Orchestra,N,,,
384,Moussorgsky/Simpson,Pictures at an Exhibition - Part II,Full Orchestra,N,,,
385,Moussorgsky,The Great Gate of Kiev,Full Orchestra,4,Easy,,
386,Muczynski,Dovetail Overture,Full Orchestra,5,,,
387,Mlynarski,Mazurka,Full Orchestra,4,,,
388,Nelson,Jubilee,Full Orchestra,5,Copied Parts,,
389,"Rodrigo, J",Concertino,String,N,Violin and String Orch,,
390,Ruhn,16th & 17th Century Dance Tunes & Airs,String Orchestra,N,,,
391,Bowen,Eight Masterworks/LeCloir/Teleman/Moffat/Tartini/Gluck/Mozart/Haydn/Francoeur,S,N,Quartet/Octet/String Orch,,
392,Gounded/McLeod,Funeral March of A Marionette,String,N,,,
393,Bach,Overture in Eight Parts (op. 3 Sinfonias),S,N,"No Cello/Bass Parts, Scores",,
394,Stamitz/Greem,Sinfonia in D,String Orchestra,3,play mvt 1,,
395,Richard Lane,Passacaglia,String Orchestra,3,,,
396,C. Norton,Airs & Graces,S,N,,,
397,Lawrenie Weiner,Elegy,String Orchestra,5,,,
398,G. Verdi,Symphony for Strings,String,N,,,
399,Bach/Issac,Brandenburg #3,S,3,Mvt 1 & 2,,
400,Mozart/Winter,Lucio Silla Overture,Full,N,,,
401,Mozart/Gordon,Menuetto from Symph No. 25 in g minor,Full,N,,,
402,Mozart/Winter,Magic Flute Overture,Full,N,,,
403,Mozart,Concerto No. 3 in G major,Full,0,parts only,,
404,Mozart/Gordon,Ceremonial March,full or string,N,,,
405,Mozart/Forbes,Mozart in Miniature,String,N,,,
406,Mozart/Moses,Symphony no. 40 in g minor,Full,4,"(Shawnee, 10 Masterworks)",,
407,Mozart,Divertimento No. 17,Full,N,Strings and Horns,,
408,Offenbach/Wersen,Orpheus in the Underworld Overture,Full,5,,,
409,"Ovanin, Nikola",Hatikvah,Full,3,,,
410,Pachelbel/Gordon,Pachelbel's Canon,Full,N,,,
411,"Presser, William",Arctic Night,Full,2,,,
412,Prokofiev,Lieutenant Kije,Full,5,Copied Parts,,
413,Offenbach/Schone,Can-Can,Full,1,,,
414,"Power, H",The Home-Owner's Guide to Making Music,Full,N,,,
415,Prokofiev/Siennicki,Montagues and Capulets from Romeo and Juliet,Full,5,Loaned to Akins,,
416,Prokofiev/Isaac,The Wedding of Lt. Kije,Full,4,,,
417,Prokofiev/Isaac,Troika,Full,4,,,
418,Purcell/Barbirelli,Chaconne in g minor,Full,N,,,
419,"Ravel, Maurice",Pavane,Full,5,,,
420,Respighi,Ancient Ayres and Dances,Full,5,Three Scores only,,
421,Rimsky-Korsakoff/Isaac,Procession of the Nobles,Full,5,Scores and Copied Parts,,
422,Rimsky-Korsakoff/Isaac,Procession of the Nobles,Full,5,,,
423,"Reed, Alfred",Testament of an American,Full Orch with Chorus,N,Patriotic,,
424,"Rust, F.R.",Peter Schlemihl Overture,Full,N,,,
425,Saint Saens,March Heroique Op. 34,Full,N,Parts,,
426,Saint Saens,March Heroique Op. 34,Full,N,Scores,,
